"Name","Progress","ProDetail","KnowledgeType","Topic","Summary","Priority","Category","CATE_CODE","Audio","CN","EN","Author","Source"
"Guns, Germs and Steels",1,"ThroughReading","Hard-knowledge","Big history",0,1,"History","HTY","Audio","P","NO","Jared Diamond","DeDao"
"The Third Chimpanzee",0.01,"RoughReading","Hard-knowledge","Big history",0,1,"History","HTY","Audio","P","NO","Jared Diamond","DeDao"
"Collapse",0.01,"RoughReading","Hard-knowledge","Big history",0,1,"History","HTY","Audio","P","NO","Jared Diamond","DeDao"
"This Fleeting World (极简人类史)",0.01,"RoughReading","Hard-knowledge","Big history",0,1,"History","HTY","Audio","NA","P","David Christian ","DuShuLang"
"Sapiens: A Brief History of Humankind(人类简史)",1,"ThroughReading","Hard-knowledge","Big history",0,1,"History","HTY","Audio","P","NO","Yuval Noah Harari",
"优秀的绵羊",0.01,"RoughReading","Hard-knowledge","Children education",0,1,"Other","OTH","Audio","P","NA",,"DeDao"
"产业链阴谋III ",0.1,"PartialReading","Fastfood-knowledge","Chinese Economy ",0,0,"Business & Economics & Management","BEM",,"NA","P",,"Self-Search"
"中国经济缺什么",0.2,"PartialReading","Fastfood-knowledge","Chinese Economy ",0,0,"Business & Economics & Management","BEM",,"NA","P",,"Self-Search"
"左传 吕氏春秋 战国策",0,"HaveNotRead","Fact-knowledge","Chinese History",0,0,"History","HTY",,"NA","P",,"Self-Search"
"乡土中国",0,"HaveNotRead","Hard-knowledge","Chinese Society",0,1,"Society and Culture","SOC","Audio","P","NA","费孝通","Self-Search"
"格调(Class)",0.01,"RoughReading","Fastfood-knowledge","Class",0,1,"Society and Culture","SOC","Audio","E","NA",,"DeDao, DaKa"
"公司财务和治理机制",0.01,"PartialReading","Hard-knowledge","Company Finance",0,1,"Business & Economics & Management","BEM",,"P","NA",,"Self-Search"
"Asking the right questions(学会提问)",0.01,"RoughReading","Hard-knowledge","Critical Thinking-Ask Question",0,1,"Self-development","SDP","Audio","P","NO","Neil Browne",
"Power Quesions (提问的艺术)",0.01,"RoughReading","Fastfood-knowledge","Critical Thinking-Ask Question",0,1,"Self-development","SDP","Audio","P","NA","Andrew Sobel & Jerold Panas",
"请用数据说话",,"HaveNotRead",,"Critical Thinking-Data",0,1,"Data Science","DAT","Audio","E","NA",,
"策略思维",0.01,"PartialReading","Hard-knowledge","Critical Thinking-Decision",0,0,"Business & Economics & Management","BEM",,"P","P",,
"金钱不能买什么",0.01,"RoughReading","Fastfood-knowledge","Critical Thinking-ethical inquisition",0,1,"Society and Culture","SOC","Audio","NA","P",,
"Thinking Fast and Slow",1,"ThroughReading","Meta-Knowledge","Critical Thinking-Rational",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Daniel Kahneman",
"为什么常识会撒谎(The Big Questions)",0.01,"RoughReading","Hard-knowledge","Critical Thinking-Rational",0,1,"Philosophy and Psychology","PPY","Audio","NA","P",,
"empire",1,"ThroughReading","Hard-knowledge","Critical Thinking-Rational",0,0,"Philosophy and Psychology","PPY",,"P","NO",,
"清醒思考的艺术（The Art of Thinking Clearly ）",1,"ThroughReading","Hard-knowledge","Critical Thinking-Rational",0,1,"Self-development","SDP","Audio","P","NA","Rolf Dobelli",
"Algorithms to Live By",0.01,"RoughReading","Hard-knowledge","Critical Thinking-Rational",,,"Self-development","SDP","Audio","P","NA","Brian Christian & Tom Griffiths",
