Month,MAU,New,Retain,Resurrect,MoM Ret,Month_number
2020-12,35917,7024,28326.3974966842,566.6025033158,0.83,12
2020-11,34207,6651,26884.5108711856,671.4891288144,0.83,11
2020-10,32578,6285,25516.3687144455,776.6312855545,0.82,10
2020-09,31027,5926,24217.1612991377,883.8387008623,0.82,9
2020-08,29549,5575,22984.5903618103,989.4096381897,0.82,8
2020-07,28142,5230,21814.7567735287,1097.2432264713,0.81,7
2020-06,26802,4892,20704.6217153974,1205.3782846026,0.81,6
2020-05,25526,4561,19650.3756473893,1314.6243526107,0.81,5
2020-04,24310,4236,18650.674080148,1423.325919852,0.81,4
2020-03,23153,3918,17700.976188,1534.023812,0.80,3
2020-02,22050,3606,16000,2444,0.80,2
2020-01,20000,3000,15000,2000,,1
