"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I'm in love with @zeithq and @Netlify.",FALSE,1,NA,2018-03-02 18:29:14,FALSE,NA,"969640792313745408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Alexintosh",0,FALSE,FALSE,NA,NA
"@davatron5000 Agree that tests running long term can get fiddly. I think that A/B tests should always have sensible‚Ä¶ https://t.co/h7i4t3qzRM",FALSE,0,"davatron5000",2018-03-02 17:10:06,TRUE,"969615449624399873","969620875979968513","14839862","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","philhawksworth",1,FALSE,FALSE,NA,NA
"RT @psdwizard: Our site is now live: https://t.co/m5HpDKlguf using React-Static with Netlify CMS really good combo Ì†ΩÌπÇÌ†ΩÌ∫Ä@Netlify @NetlifyCMS @‚Ä¶",FALSE,0,NA,2018-03-02 16:35:16,FALSE,NA,"969612112782766081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tannerlinsley",2,TRUE,FALSE,NA,NA
"RT @psdwizard: Our site is now live: https://t.co/m5HpDKlguf using React-Static with Netlify CMS really good combo Ì†ΩÌπÇÌ†ΩÌ∫Ä@Netlify @NetlifyCMS @‚Ä¶",FALSE,0,NA,2018-03-02 16:06:02,FALSE,NA,"969604753180078080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","biilmann",2,TRUE,FALSE,NA,NA
"But how to track the results? @Netlify can expose the underlying branch name to Google Analytics thanks to an envir‚Ä¶ https://t.co/FjwNCGzASL",FALSE,3,"philhawksworth",2018-03-02 15:29:06,TRUE,"969191215609638912","969595461886767106","7655012","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","philhawksworth",0,FALSE,FALSE,NA,NA
"@rem I regularly stitch @SlackHQ @Netlify @github and @IFTTT in various configurations using webhooks for all sorts of fun.",FALSE,0,"rem",2018-03-02 15:20:14,FALSE,"969250155361906688","969593230135308288","648873","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","philhawksworth",0,FALSE,FALSE,NA,NA
"@psdwizard @Netlify @NetlifyCMS @ReactStatic @reactjs Looking good!",FALSE,2,"psdwizard",2018-03-02 14:35:16,FALSE,"969579294329483265","969581914129657857","3042156301","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rafahari",0,FALSE,FALSE,NA,NA
"Our site is now live: https://t.co/m5HpDKlguf using React-Static with Netlify CMS really good combo Ì†ΩÌπÇÌ†ΩÌ∫Ä@Netlify‚Ä¶ https://t.co/qmK3bZKaG8",FALSE,5,NA,2018-03-02 14:24:52,TRUE,NA,"969579294329483265",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","psdwizard",2,FALSE,FALSE,NA,NA
"RT @TheDaveCrow: @lucasallenio @GoHugoIO @Netlify @zachpflederer Nice! We're using Netlify for https://t.co/rO38w9dkgK at the moment and we‚Ä¶",FALSE,0,NA,2018-03-02 13:47:36,FALSE,NA,"969569914632720385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lucasallenio",1,TRUE,FALSE,NA,NA
"@yashints @phillipsj73 @GoHugoIO @Netlify @TheDaveCrow @zachpflederer Short answer is it depends. I exported via an‚Ä¶ https://t.co/lrsxgplit7",FALSE,0,"yashints",2018-03-02 13:36:32,TRUE,"969563601093591040","969567131070337024","2800276689","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lucasallenio",0,FALSE,FALSE,NA,NA
"@lucasallenio @phillipsj73 @GoHugoIO @Netlify @TheDaveCrow @zachpflederer I was thinking something along these line‚Ä¶ https://t.co/wGIBU0wAD1",FALSE,1,"lucasallenio",2018-03-02 13:22:30,TRUE,"969402498049069056","969563601093591040","75653676","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yashints",0,FALSE,FALSE,NA,NA
"RT @philhawksworth: A crafty little trick on @Netlify - use the built-in Split Testing feature to power an ""opt-in to my beta"" section of y‚Ä¶",FALSE,0,NA,2018-03-02 11:50:55,FALSE,NA,"969540551514128384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","phillipsj73",1,TRUE,FALSE,NA,NA
"RT @lucasallenio: Here's why I moved my blog from WordPress to @GoHugoIO and the JAM Stack and hosted it on @Netlify @TheDaveCrow @zachpfle‚Ä¶",FALSE,0,NA,2018-03-02 11:47:15,FALSE,NA,"969539630457552896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","phillipsj73",3,TRUE,FALSE,NA,NA
"@Netlify On a blog post, you give the advice to keep www for custom domains on Netlify, but this means that we can'‚Ä¶ https://t.co/3RbOqv776A",FALSE,0,"Netlify",2018-03-02 11:09:25,TRUE,NA,"969530108485816320","2571501973","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fbnlsr",0,FALSE,FALSE,NA,NA
"@radioxid @Netlify Interesting, will look at it :-)",FALSE,0,"radioxid",2018-03-02 10:36:39,FALSE,"969360055589011456","969521862383407104","36726054","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kamidude",0,FALSE,FALSE,NA,NA
"@joshin_my_tots @martycep @Netlify pssst. DM-ing your deets to @netlify usually does the trick.",FALSE,0,"joshin_my_tots",2018-03-02 09:44:12,FALSE,"969427364139716608","969508664963977216","974659615","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","philhawksworth",0,FALSE,FALSE,NA,NA
"Escape Deployment, DNS, SSL-Certificate and other hassles: We teamed up with our friends @Netlify you should too! https://t.co/hqy6TswnT0",FALSE,0,NA,2018-03-02 05:40:03,FALSE,NA,"969447219643510784",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Scrivito",0,FALSE,FALSE,NA,NA
"RT @56kCloud: Want to learn how we automated our website. Take a look how we did it. - https://t.co/FKk85Umm2j #DevOps #automation @Netlify‚Ä¶",FALSE,0,NA,2018-03-02 05:14:53,FALSE,NA,"969440886965919744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","veggiemonk",3,TRUE,FALSE,NA,NA
"@martycep @Netlify OMG How do I get netlify stickers",FALSE,0,"martycep",2018-03-02 04:21:09,FALSE,"969422107133267969","969427364139716608","944494803542085633","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joshin_my_tots",0,FALSE,FALSE,NA,NA
"RT @martycep: @Netlify so happy with the gear you sent! thanks! been talking to my dev friends about JAM stack and #Netlify https://t.co/x0‚Ä¶",FALSE,0,NA,2018-03-02 04:09:40,FALSE,NA,"969424475056779264",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","biilmann",1,TRUE,FALSE,NA,NA
